family,variant,planner,direction,case_id,mask_strategy,mask_intensity,seed,baseline_actions,candidate_actions,condition_role
AFA,x0.75,afa_voi_myopic,loss,C09-darpa-optc-sysclient0201-0923,random,0.6,23,C09-AA-004|C09-AA-005|C09-AA-002,C09-AA-004|STOP,within_case_repeated_measure
AFA,x0.75,afa_voi_myopic,loss,C09-darpa-optc-sysclient0201-0923,random,0.6,41,C09-AA-004|C09-AA-005|C09-AA-002,C09-AA-004|STOP,within_case_repeated_measure
Depth2,x0.75,project05_depth2_public,loss,C11-otrf-apt29-day1-scranton-nashua,random,0.6,41,C11-AA-004|C11-AA-002|C11-AA-003,C11-AA-002|C11-AA-005|C11-AA-001|C11-AA-004|STOP,within_case_repeated_measure
Depth2,x0.75,project05_depth2_public,gain,C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,C11-AA-005|C11-AA-004|C11-AA-002|C11-AA-001|STOP,C11-AA-005|C11-AA-001|C11-AA-003,within_case_repeated_measure
