scenario_id,unlock_depth,budget_slack,distractor_count,distractor_gain,chain_reliability,seed,planner,reached_target,cost_to_target,budget_used,steps,local_gain,actions_taken,first_action,explicit_stop,premature_stop,failed_chain_actions,depth2_expanded_states
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,83,one_step_gain_cost,0,,1,1,1.0,DISTRACTOR_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,83,project05_m2,0,,2,2,1.0,DISTRACTOR_01|SETUP_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,83,depth2_m2,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,7
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,83,dp_oracle,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,97,one_step_gain_cost,0,,1,1,1.0,DISTRACTOR_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,97,project05_m2,0,,2,2,1.0,DISTRACTOR_01|SETUP_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,97,depth2_m2,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,7
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,97,dp_oracle,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,101,one_step_gain_cost,0,,1,1,1.0,DISTRACTOR_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,101,project05_m2,0,,2,2,1.0,DISTRACTOR_01|SETUP_01,DISTRACTOR_01,1,0,0,0
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,101,depth2_m2,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,7
NM-d1-s0-n01-g100-r100,1,0,1,1.0,1.0,101,dp_oracle,1,2,2,2,0.0,SETUP_01|PAYOFF,SETUP_01,0,0,0,0
NM-d1-s0-n01-g100-r080,1,0,1,1.0,0.8,11,one_step_gain_cost,0,,1,1,1.0,DISTRACTOR_01,DISTRACTOR_01,1,0,0,0
