planner,family,repeated_run_count,success_rate,mean_cost_to_target,mean_cost_regret_vs_oracle,correct_stop_rate,premature_stop_rate,ceiling_violation_rate
oracle_optimal,reference,45,1.0,0.8889,0.0,1.0,0.0,0.0
project05_depth2_public,public_lookahead,45,1.0,0.8889,0.0,1.0,0.0,0.0
afa_voi_rollout_h3,afa_adapter,45,1.0,0.9778,0.0889,1.0,0.0,0.0
coverage_greedy,transparent_rule,45,1.0,0.9778,0.0889,1.0,0.0,0.0
project05_m3a_gap_compat,transparent_rule,45,1.0,0.9778,0.0889,1.0,0.0,0.0
project05_m3b_policy,logistic_transfer,45,1.0,0.9778,0.0889,1.0,0.0,0.0
project05_xgboost_policy,xgboost_transfer,45,1.0,0.9778,0.0889,1.0,0.0,0.0
project05_m2,transparent_rule,45,1.0,1.4222,0.5333,1.0,0.0,0.0
afa_voi_myopic,afa_adapter,45,1.0,1.5111,0.6222,1.0,0.0,0.0
