case_id,mask_strategy,mask_intensity,seed,actions_taken,premature_stop,justified_degrade_stop,analysis_unit,condition_role
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,C11-AA-005|C11-AA-001|C11-AA-004|STOP,1,0,case_or_attack_chain,within_case_repeated_measure
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,C11-AA-001|C11-AA-005|C11-AA-004|STOP,1,0,case_or_attack_chain,within_case_repeated_measure
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,C11-AA-005|C11-AA-001|C11-AA-004|STOP,1,0,case_or_attack_chain,within_case_repeated_measure
